YEAR,INNINGS,AVERAGE,STRIKE RATE,HUNDRED,FIFTY,HIGH SCORE,ODI RUNS
1,7,38.3,89.1,0,3,62,230
2,11,59.6,95.2,3,2,123,656
3,17,67.1,79.3,4,2,125,872
4,17,36.4,81.2,1,2,106,509
5,20,60.7,92.3,3,6,115,1092
6,3,110.5,101.8,1,1,125,221
7,6,67.5,108,2,1,158,405
8,9,84.9,90.8,3,5,114,679
